Provinsi;L;P;Total
ACEH;2691.8;2696.3;5388.1
SUMATERA UTARA;7392.7;7405.7;14798.4
SUMATERA BARAT;2760.6;2785.1;5545.7
RIAU;3553.2;3398.0;6951.2
JAMBI;1831.3;1772.9;3604.2
SUMATERA SELATAN;4358.0;4242.8;8600.8
BENGKULU;1015.2;979.1;1994.3
LAMPUNG;4364.3;4170.6;8534.8
KEP. BANGKA BELITUNG;756.9;712.9;1469.8
KEP. RIAU;1179.0;1130.5;2309.5
DKI JAKARTA;5267.8;5308.6;10576.4
JAWA BARAT;25111.2;24454.0;49565.2
JAWA TENGAH;17237.3;17500.9;34738.2
DI YOGYAKARTA;1935.4;1983.8;3919.2
JAWA TIMUR;19722.2;20233.7;39955.9
BANTEN;6557.9;6337.4;12895.3
BALI;2221.4;2193.1;4414.4
NUSA TENGGARA BARAT;2563.9;2662.0;5225.9
NUSA TENGGARA TIMUR;2731.6;2781.8;5513.4
KALIMANTAN BARAT;2591.4;2513.5;5104.9
KALIMANTAN TENGAH;1394.9;1291.4;2686.3
KALIMANTAN SELATAN;2156.7;2111.9;4268.6
KALIMANTAN TIMUR;1902.9;1761.8;3664.7
KALIMANTAN UTARA;374.1;334.2;708.4
SULAWESI UTARA;1279.6;1233.4;2512.9
SULAWESI TENGAH;1565.1;1516.6;3081.7
SULAWESI SELATAN;4348.5;4540.3;8888.8
SULAWESI TENGGARA;1352.9;1350.6;2703.5
GORONTALO;593.5;592.8;1186.3
SULAWESI BARAT;692.2;686.0;1378.1
MALUKU;900.4;886.7;1787.1
MALUKU UTARA;637.3;615.0;1252.3
PAPUA BARAT;518.1;468.0;986.0
PAPUA;1777.7;1615.4;3393.1
